playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary,birthYear,birthMonth,weight,height,throws,debut
grimmju01,2016,1,CHN,NL,2,1,68,0,0,0,0,158,47,24,5,23,65,0.234,4.1,2.0,7,1.0,0,225.0,11,24,0.0,0.0,0.0,1275000.0,1988.0,8.0,210.0,75.0,R,2012-06-16
gurkaja01,2016,1,COL,NL,0,0,6,0,0,0,0,29,16,10,1,2,7,0.381,9.31,0.0,0,0.0,0,45.0,5,10,0.0,1.0,1.0,660000.0,1988.0,1.0,170.0,72.0,L,2015-08-29
hamelco01,2016,1,TEX,AL,15,5,32,32,0,0,0,602,185,74,24,77,200,0.243,3.32,1.0,4,8.0,1,848.0,0,83,1.0,2.0,19.0,22500000.0,1983.0,12.0,205.0,76.0,L,2006-05-12
hammeja01,2016,1,CHN,NL,15,10,30,30,0,0,0,500,148,71,25,53,144,0.239,3.83,0.0,9,9.0,0,692.0,0,77,7.0,3.0,14.0,9000000.0,1982.0,9.0,225.0,78.0,R,2006-04-11
happja01,2016,1,TOR,AL,20,4,32,32,0,0,0,585,168,69,22,60,163,0.231,3.18,0.0,3,6.0,2,796.0,0,72,2.0,2.0,21.0,10000000.0,1982.0,10.0,205.0,77.0,L,2007-06-30
hardybl01,2016,1,DET,AL,1,0,21,0,0,0,0,77,25,10,2,12,20,0.253,3.51,1.0,1,0.0,0,112.0,10,11,1.0,0.0,3.0,520500.0,1987.0,3.0,218.0,74.0,L,2014-06-16
harriwi02,2016,1,HOU,AL,1,2,66,0,0,0,12,192,52,16,3,15,69,0.22,2.25,1.0,4,1.0,0,255.0,19,17,1.0,2.0,6.0,525500.0,1984.0,8.0,236.0,76.0,R,2012-08-13
harvema01,2016,1,NYN,NL,4,10,17,17,0,0,0,278,111,50,8,25,76,0.302,4.86,1.0,4,1.0,0,402.0,0,55,5.0,4.0,10.0,4325000.0,1989.0,3.0,220.0,76.0,R,2012-07-26
hatchch02,2016,1,LAN,NL,5,4,37,0,0,0,0,122,40,25,8,21,43,0.253,5.53,4.0,4,1.0,0,181.0,10,26,1.0,0.0,3.0,1065000.0,1985.0,1.0,200.0,73.0,R,2010-09-19
heanean01,2016,1,LAA,AL,0,1,1,1,0,0,0,18,7,4,2,0,7,0.28,6.0,0.0,0,0.0,0,25.0,0,4,0.0,0.0,0.0,515000.0,1991.0,6.0,200.0,74.0,L,2014-06-19
hellije01,2016,1,PHI,NL,12,10,32,32,1,1,0,567,173,78,24,45,154,0.243,3.71,0.0,6,6.0,1,772.0,0,86,4.0,6.0,21.0,7000000.0,1987.0,4.0,190.0,73.0,R,2010-08-02
hendeji01,2016,1,NYN,NL,2,2,44,0,0,0,0,105,34,16,7,14,40,0.248,4.11,0.0,0,2.0,1,155.0,8,17,1.0,1.0,1.0,600000.0,1982.0,10.0,220.0,77.0,R,2012-07-26
hendrky01,2016,1,CHN,NL,16,8,31,30,2,1,0,570,142,45,15,44,170,0.207,2.13,3.0,5,8.0,0,745.0,0,53,4.0,3.0,12.0,541000.0,1989.0,12.0,190.0,75.0,R,2014-07-10
hendrli01,2016,1,OAK,AL,0,4,53,0,0,0,0,194,69,27,6,14,71,0.27,3.76,3.0,3,1.0,0,275.0,10,31,0.0,4.0,6.0,523400.0,1989.0,2.0,235.0,72.0,R,2011-09-06
hernada01,2016,1,PHI,NL,3,4,70,0,0,0,1,218,77,31,11,32,80,0.27,3.84,5.0,6,2.0,0,322.0,16,31,1.0,1.0,5.0,3900000.0,1985.0,5.0,245.0,75.0,R,2009-05-28
hernafe02,2016,1,SEA,AL,11,8,25,25,0,0,0,460,138,65,19,65,122,0.239,3.82,0.0,6,10.0,0,655.0,0,76,3.0,0.0,17.0,25857143.0,1986.0,4.0,220.0,75.0,R,2005-08-04
herreke01,2016,1,KCA,AL,2,6,72,0,0,0,12,216,57,22,6,12,86,0.214,2.75,0.0,3,3.0,0,283.0,23,23,1.0,1.0,3.0,2550000.0,1989.0,12.0,220.0,70.0,R,2011-09-21
hestoch01,2016,1,SFN,NL,1,1,4,0,0,0,0,15,9,6,0,6,3,0.409,10.8,2.0,3,0.0,0,29.0,0,6,1.0,0.0,0.0,530000.0,1988.0,4.0,195.0,75.0,R,2014-09-13
hillri01,2016,1,OAK,AL,9,3,14,14,0,0,0,228,55,19,2,28,90,0.201,2.25,0.0,0,8.0,0,311.0,0,22,0.0,1.0,8.0,6000000.0,1980.0,3.0,221.0,77.0,L,2005-06-15
hinojda01,2016,1,PHI,NL,0,1,10,0,0,0,0,33,10,4,1,3,8,0.25,3.27,0.0,0,0.0,0,44.0,4,4,0.0,1.0,1.0,514000.0,1986.0,2.0,230.0,73.0,R,2015-05-03
hochelu01,2016,1,KCA,AL,2,3,40,0,0,0,0,112,31,16,6,9,40,0.226,3.86,0.0,2,3.0,0,151.0,1,17,1.0,1.0,1.0,5500000.0,1983.0,9.0,225.0,77.0,R,2007-09-08
holadbr01,2016,1,TEX,AL,0,0,1,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4.0,1,0,0.0,0.0,0.0,519000.0,1987.0,11.0,203.0,72.0,R,2012-06-06
holtty01,2016,1,CIN,NL,0,0,1,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,3.0,1,0,0.0,0.0,0.0,508000.0,1989.0,3.0,190.0,70.0,R,2014-07-06
hoovejj01,2016,1,CIN,NL,1,2,18,0,0,0,1,56,29,28,9,12,15,0.345,13.5,1.0,0,1.0,0,97.0,8,29,0.0,0.0,1.0,1400000.0,1987.0,8.0,240.0,75.0,R,2012-04-25
howeljp01,2016,1,LAN,NL,1,1,64,0,0,0,0,152,56,23,4,15,44,0.281,4.09,2.0,3,3.0,0,220.0,11,23,1.0,2.0,4.0,6250000.0,1983.0,4.0,180.0,72.0,L,2005-06-11
hudsoda01,2016,1,ARI,NL,3,2,70,0,0,0,5,181,65,35,6,22,58,0.269,5.22,3.0,5,4.0,0,268.0,17,40,0.0,0.0,3.0,2700000.0,1987.0,3.0,215.0,75.0,R,2009-09-04
hugheja02,2016,1,PIT,NL,1,1,67,0,0,0,1,178,62,20,6,22,34,0.277,3.03,3.0,5,5.0,0,257.0,18,24,4.0,2.0,8.0,2175000.0,1985.0,7.0,240.0,79.0,R,2011-09-07
hugheph01,2016,1,MIN,AL,1,7,12,11,1,0,0,177,76,39,11,13,34,0.313,5.95,0.0,0,0.0,0,259.0,0,40,1.0,2.0,6.0,9200000.0,1986.0,6.0,240.0,77.0,R,2007-04-26
hunteto02,2016,1,CLE,AL,2,2,21,0,0,0,0,65,21,9,1,5,17,0.256,3.74,1.0,0,2.0,0,90.0,5,10,1.0,0.0,3.0,2000000.0,1986.0,7.0,250.0,75.0,R,2008-08-01
iglesra01,2016,1,CIN,NL,3,2,37,5,0,0,6,235,63,22,7,26,83,0.216,2.53,1.0,3,5.0,1,325.0,15,22,1.0,2.0,3.0,3214285.0,1990.0,1.0,190.0,74.0,R,2015-04-12
iwakuhi01,2016,1,SEA,AL,16,12,33,33,0,0,0,597,218,91,28,46,147,0.282,4.12,3.0,4,5.0,0,836.0,0,95,6.0,7.0,25.0,10976096.0,1981.0,4.0,210.0,75.0,R,2012-04-20
jacksed01,2016,1,MIA,NL,0,1,8,0,0,0,0,32,13,7,2,6,7,0.317,5.91,1.0,1,0.0,0,47.0,3,7,0.0,0.0,1.0,507500.0,1983.0,9.0,215.0,74.0,R,2003-09-09
jackslu01,2016,1,TEX,AL,0,0,8,0,0,0,0,35,22,14,4,8,3,0.415,10.8,0.0,0,0.0,0,62.0,2,14,0.0,1.0,2.0,508500.0,1991.0,8.0,210.0,74.0,R,2015-09-04
janseke01,2016,1,LAN,NL,3,2,71,0,0,0,47,206,35,14,4,11,104,0.15,1.83,2.0,1,2.0,0,251.0,63,14,3.0,1.0,1.0,10650000.0,1987.0,9.0,265.0,77.0,R,2010-07-24
jeffrje01,2016,1,MIL,NL,2,2,47,0,0,0,27,134,45,11,2,11,35,0.262,2.22,3.0,0,4.0,0,190.0,40,13,2.0,1.0,6.0,519100.0,1987.0,9.0,205.0,72.0,R,2010-09-01
jennida01,2016,1,CHA,AL,4,3,64,0,0,0,1,182,57,14,1,28,46,0.259,2.08,0.0,4,3.0,0,259.0,15,18,2.0,6.0,11.0,810000.0,1987.0,4.0,215.0,75.0,L,2012-04-30
jepseke01,2016,1,MIN,AL,2,5,33,0,0,0,7,92,42,21,7,12,22,0.333,6.16,1.0,2,0.0,0,141.0,19,22,0.0,3.0,3.0,5312000.0,1984.0,7.0,235.0,75.0,R,2008-09-08
jimenub01,2016,1,BAL,AL,8,12,29,25,1,0,1,427,150,86,16,72,125,0.268,5.44,1.0,5,3.0,1,638.0,2,93,1.0,1.0,12.0,12673102.0,1984.0,1.0,221.0,77.0,R,2006-09-26
johnsji04,2016,1,ATL,NL,2,6,65,0,0,0,20,194,57,22,3,20,68,0.236,3.06,0.0,6,3.0,0,266.0,36,23,0.0,1.0,9.0,2500000.0,1983.0,6.0,250.0,78.0,R,2006-07-29
jonesna01,2016,1,CHA,AL,5,3,71,0,0,0,3,212,48,18,7,15,80,0.19,2.29,3.0,7,3.0,0,274.0,11,20,2.0,2.0,5.0,900000.0,1986.0,1.0,230.0,77.0,R,2012-04-08
jungmta01,2016,1,MIL,NL,0,5,8,6,0,0,0,80,30,23,4,17,18,0.291,7.76,1.0,0,3.0,0,126.0,2,24,1.0,2.0,1.0,518500.0,1989.0,12.0,210.0,78.0,R,2015-06-09
karnsna01,2016,1,SEA,AL,6,2,22,15,0,0,1,283,95,54,11,45,101,0.259,5.15,1.0,5,3.0,1,417.0,2,55,0.0,2.0,5.0,523700.0,1987.0,11.0,225.0,75.0,R,2013-05-28
kazmisc01,2016,1,LAN,NL,10,6,26,26,0,0,0,409,133,69,21,52,134,0.253,4.56,3.0,5,7.0,0,590.0,0,71,2.0,3.0,6.0,14985384.0,1984.0,1.0,185.0,72.0,L,2004-08-23
kelake01,2016,1,TEX,AL,5,1,35,0,0,0,0,102,30,23,6,17,45,0.236,6.09,0.0,2,3.0,1,150.0,2,23,2.0,1.0,4.0,518000.0,1993.0,4.0,220.0,73.0,R,2015-04-07
kellesh01,2016,1,WAS,NL,3,2,67,0,0,0,7,174,41,17,9,11,80,0.194,2.64,2.0,2,0.0,0,224.0,26,19,0.0,2.0,1.0,4000000.0,1984.0,4.0,237.0,74.0,R,2009-04-10
kellyjo05,2016,1,BOS,AL,4,0,20,6,0,0,0,120,44,23,5,24,48,0.278,5.18,0.0,0,2.0,0,188.0,6,23,0.0,4.0,2.0,2600000.0,1988.0,6.0,174.0,73.0,R,2012-06-10
kenneia01,2016,1,KCA,AL,11,11,33,33,0,0,0,587,173,80,33,66,184,0.236,3.68,1.0,4,13.0,0,818.0,0,81,1.0,5.0,9.0,7500000.0,1984.0,12.0,210.0,72.0,R,2007-09-01
