Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1990,HarnischPete,24.0,120000.0,4.34,189,91,122,17,11,11,566,821.0,0,195.0,73.0,AL,BAL,31
1990,HarrisGreg,35.0,590000.0,4.0,186,82,117,13,13,9,553,803.0,3,165.0,72.0,AL,BOS,30
1990,HawkinsAndy,30.0,1133333.0,5.37,156,94,74,20,5,12,473,692.0,1,200.0,76.0,AL,NYA,26
1990,HeatonNeal,30.0,700000.0,3.45,143,56,68,17,12,9,438,599.0,2,197.0,73.0,NL,PIT,24
1990,HetzelEric,27.0,115000.0,5.91,39,23,20,3,1,4,105,163.0,1,175.0,75.0,AL,BOS,8
1990,HibbardGreg,26.0,100000.0,3.16,202,74,92,11,14,9,633,871.0,0,180.0,72.0,AL,CHA,33
1990,HigueraTeddy,33.0,2125000.0,3.76,167,71,129,16,11,10,510,720.0,0,178.0,70.0,AL,ML4,27
1990,HillKen,25.0,100000.0,5.49,79,48,58,7,5,6,236,343.0,1,200.0,76.0,NL,SLN,14
1990,HolmanBrian,25.0,193000.0,4.03,188,85,121,17,11,11,569,804.0,0,185.0,76.0,AL,SEA,28
1990,HoughCharlie,42.0,1000000.0,4.07,190,99,114,24,12,12,656,950.0,0,190.0,74.0,AL,TEX,32
1990,HowellKen,30.0,716667.0,4.64,106,55,70,12,8,7,320,467.0,0,200.0,75.0,NL,PHI,18
1990,HurstBruce,32.0,1633333.0,3.14,188,78,162,21,11,9,671,903.0,0,200.0,76.0,NL,SDN,33
1990,JacksonDanny,28.0,1150000.0,3.61,119,47,76,11,6,6,352,499.0,1,205.0,72.0,NL,CIN,21
1990,JeffcoatMike,31.0,185000.0,4.47,122,55,58,12,5,6,332,466.0,11,187.0,74.0,AL,TEX,12
1990,JohnsonDave,31.0,113500.0,4.1,196,82,68,30,13,9,540,758.0,0,180.0,70.0,AL,BAL,29
