Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1990,GubiczaMark,28,2066667,4.5,101,47,71,5,4,7,282,409,0,215,78,AL,KCA,16
1990,GullicksonBill,31,900000,3.82,221,82,73,21,10,14,580,846,0,200,75,NL,HOU,32
1990,GundersonEric,24,100000,5.49,24,12,14,2,1,2,59,94,1,175,72,NL,SFN,4
1990,GuthrieMark,25,102000,3.79,154,61,101,8,7,9,434,603,0,192,76,AL,MIN,21
1990,HammakerAtlee,32,775000,4.28,69,32,28,7,4,5,202,282,5,200,75,NL,SFN,6
1990,HansonErik,25,150000,3.24,205,85,211,15,18,9,708,964,0,210,78,AL,SEA,33
1990,HarkeyMike,24,104500,3.26,153,63,94,14,12,6,521,728,0,220,77,NL,CHN,27
1990,HarnischPete,24,120000,4.34,189,91,122,17,11,11,566,821,0,195,73,AL,BAL,31
1990,HarrisGreg,35,590000,4.0,186,82,117,13,13,9,553,803,3,165,72,AL,BOS,30
1990,HartleyMike,29,100000,2.95,58,26,76,7,6,3,238,325,8,192,73,NL,LAN,6
1990,HawkinsAndy,30,1133333,5.37,156,94,74,20,5,12,473,692,1,200,76,AL,NYA,26
1990,HeatonNeal,30,700000,3.45,143,56,68,17,12,9,438,599,2,197,73,NL,PIT,24
1990,HershiserOrel,32,1966667,4.26,26,12,16,1,1,1,76,106,0,190,75,NL,LAN,4
1990,HetzelEric,27,115000,5.91,39,23,20,3,1,4,105,163,1,175,75,AL,BOS,8
1990,HibbardGreg,26,100000,3.16,202,74,92,11,14,9,633,871,0,180,72,AL,CHA,33
1990,HigueraTeddy,33,2125000,3.76,167,71,129,16,11,10,510,720,0,178,70,AL,ML4,27
1990,HillKen,25,100000,5.49,79,48,58,7,5,6,236,343,1,200,76,NL,SLN,14
1990,HolmanBrian,25,193000,4.03,188,85,121,17,11,11,569,804,0,185,76,AL,SEA,28
1990,HoughCharlie,42,1000000,4.07,190,99,114,24,12,12,656,950,0,190,74,AL,TEX,32
1990,HowellKen,30,716667,4.64,106,55,70,12,8,7,320,467,0,200,75,NL,PHI,18
1990,HurstBruce,32,1633333,3.14,188,78,162,21,11,9,671,903,0,200,76,NL,SDN,33
1990,JacksonDanny,28,1150000,3.61,119,47,76,11,6,6,352,499,1,205,72,NL,CIN,21
1990,JeffcoatMike,31,185000,4.47,122,55,58,12,5,6,332,466,11,187,74,AL,TEX,12
1990,JohnsonDave,31,113500,4.1,196,82,68,30,13,9,540,758,0,180,70,AL,BAL,29
1990,JohnsonRandy,27,150000,3.65,174,89,194,26,14,11,659,944,0,225,82,AL,SEA,33
1990,JonesJimmy,26,190000,6.3,72,35,25,8,1,2,150,238,9,175,74,AL,NYA,7
1990,KeyJimmy,29,1466667,4.25,169,73,88,20,13,7,464,636,0,185,73,AL,TOR,27
1990,KieckerDana,29,100000,3.97,145,67,93,7,8,9,456,641,3,180,75,AL,BOS,25
1990,KingEric,26,415000,3.28,135,55,70,10,12,4,453,623,0,180,74,AL,CHA,25
1990,KnudsonMark,30,150000,4.12,187,77,56,14,10,9,505,719,0,215,77,AL,ML4,27
1990,KruegerBill,32,325000,3.98,137,57,64,10,6,8,387,566,4,205,77,AL,ML4,17
1990,KutzlerJerry,25,100000,6.03,38,21,21,2,2,1,94,141,0,175,73,AL,CHA,7
1990,LaCossMike,34,1150000,3.94,75,34,39,5,6,4,233,337,0,185,77,NL,SFN,12
1990,LancasterLes,28,300000,4.62,121,56,65,11,9,5,327,479,26,200,74,NL,CHN,6
1990,LangstonMark,30,1800000,4.4,215,109,195,13,10,17,669,950,0,177,74,AL,CAL,33
1990,LaPointDave,31,850000,4.11,180,72,67,11,7,10,473,694,0,205,75,AL,NYA,27
1990,LearyTim,32,825000,4.11,202,95,138,18,9,19,624,881,0,205,75,AL,NYA,31
1990,LeibrandtCharlie,34,1000000,3.16,164,57,76,9,9,11,487,680,0,195,75,NL,ATL,24
1990,LilliquistDerek,24,135000,6.28,75,43,34,10,2,8,185,279,1,200,72,NL,ATL,11
1990,MadduxGreg,24,437500,3.46,242,91,144,11,15,15,711,1011,0,170,72,NL,CHN,35
1990,MagraneJoe,26,300000,3.59,204,81,100,10,10,17,610,855,0,225,78,NL,SLN,31
1990,MahlerRick,37,790000,4.28,134,64,68,16,7,6,404,564,9,195,73,NL,CIN,16
1990,MartinezDennis,36,1400000,2.95,191,74,156,16,10,11,678,908,0,160,73,NL,MON,32
1990,MartinezRamon,22,150000,2.92,191,76,223,22,20,6,703,950,0,165,76,NL,LAN,33
1990,MathewsGreg,28,125000,5.33,53,30,18,2,0,5,152,229,0,180,74,NL,SLN,10
1990,McCaskillKirk,29,967500,3.25,161,63,78,9,12,11,523,738,0,190,73,AL,CAL,29
1990,McDonaldBen,23,241667,2.43,88,32,65,9,8,5,356,472,2,212,79,AL,BAL,15
1990,MilackiBob,26,235000,4.46,143,67,60,18,5,8,406,594,0,220,76,AL,BAL,24
1990,MitchellJohn,25,111000,4.64,133,59,43,7,6,6,343,509,2,165,74,AL,BAL,17
1990,MooreMike,31,1191667,4.65,204,103,73,14,13,15,598,862,0,205,76,AL,OAK,33
1990,MorganMike,31,650000,3.75,216,88,106,19,11,15,633,891,0,195,75,NL,LAN,33
1990,MorrisJack,35,2100000,4.51,231,125,162,26,15,18,749,1073,0,195,75,AL,DET,36
1990,MoyerJamie,28,340000,4.66,115,53,58,6,2,6,307,447,6,170,72,AL,TEX,10
1990,MulhollandTerry,27,150000,3.34,172,67,75,15,9,10,542,746,2,200,75,NL,PHI,26
1990,NavarroJaime,23,120000,4.46,176,74,75,11,8,7,448,654,2,210,76,AL,ML4,22
1990,NunezJose,26,125000,6.53,61,44,40,5,4,7,182,274,4,175,75,NL,CHN,10
1990,OjedaBob,33,1300000,3.66,123,48,62,10,7,6,354,500,9,185,73,NL,NYN,12
1990,ParrettJeff,29,650000,5.18,92,47,69,10,4,9,245,355,14,185,76,NL,PHI,5
1990,PattersonBob,31,150000,2.95,88,31,70,9,8,5,284,386,19,185,74,NL,PIT,5
1990,PerezMelido,24,228000,4.61,177,101,161,14,13,14,591,833,0,180,76,AL,CHA,35
1990,PerezPascual,33,1400000,1.29,8,2,12,0,1,2,42,52,0,162,74,AL,NYA,3
1990,PicoJeff,24,120000,4.79,120,49,37,7,4,4,276,421,8,180,73,NL,CHN,8
1990,PortugalMark,28,202000,3.62,187,79,136,21,11,10,590,831,0,170,72,NL,HOU,32
1990,RasmussenDennis,31,802000,4.51,217,94,86,28,11,15,563,825,0,230,79,NL,SDN,32
1990,RijoJose,25,630000,2.7,151,59,152,10,14,8,591,801,0,200,73,NL,CIN,29
1990,RobinsonDon,33,950000,4.57,173,80,78,18,10,7,473,667,0,225,76,NL,SFN,25
1990,RobinsonJeff,30,925000,3.45,82,34,43,8,3,6,266,372,12,195,76,AL,NYA,4
1990,RobinsonJeff,29,336000,5.96,141,96,76,23,10,9,435,654,0,210,78,AL,DET,27
1990,RobinsonRon,28,500000,4.88,36,17,14,2,2,2,94,137,0,235,76,NL,CIN,5
1990,RogersKenny,26,140000,3.13,93,34,74,6,10,6,293,428,46,200,73,AL,TEX,3
1990,RuffinBruce,27,350000,5.38,178,89,79,14,6,13,447,678,1,205,74,NL,PHI,25
1990,RyanNolan,43,1400000,3.44,137,78,232,18,13,9,612,818,0,170,74,AL,TEX,30
1990,SaberhagenBret,26,1400000,3.27,146,49,87,9,5,9,405,561,0,160,73,AL,KCA,20
1990,SampenBill,27,100000,2.99,94,30,69,7,12,7,271,394,26,185,73,NL,MON,4
1990,SandersonScott,34,750000,3.88,205,89,128,27,17,11,619,885,0,195,77,AL,OAK,34
1990,SchiraldiCalvin,28,600000,4.41,105,51,74,11,3,8,312,468,14,215,77,NL,SDN,8
1990,ScottMike,35,1987500,3.81,194,87,121,27,9,13,617,871,0,210,74,NL,HOU,32
1990,ScudderScott,22,107000,4.9,74,39,42,12,5,5,215,316,3,180,74,NL,CIN,10
1990,SearcySteve,26,107000,4.66,76,39,66,9,2,7,226,341,2,190,73,AL,DET,12
1990,ShawJeff,24,100000,6.66,73,36,25,11,3,4,146,229,0,185,74,AL,CLE,9
1990,ShowEric,34,1050000,5.76,131,68,55,16,6,8,319,482,14,185,73,NL,SDN,12
1990,SmileyJohn,25,840000,4.64,161,77,86,15,9,10,448,632,0,180,76,NL,PIT,25
1990,SmithBryn,35,1566667,4.27,160,67,78,11,9,8,424,605,0,200,74,NL,SLN,25
1990,SmithPete,24,190000,4.79,77,41,56,11,5,6,231,327,0,185,74,NL,ATL,13
1990,SmithRoy,29,355000,4.81,191,82,87,20,5,10,460,671,1,200,75,AL,MIN,23
1990,SmithZane,30,860000,3.23,141,50,80,11,6,7,418,578,0,185,74,NL,MON,21
1990,SmoltzJohn,23,210000,3.85,206,99,170,20,14,11,694,966,0,210,75,NL,ATL,34
1990,StewartDave,33,950000,2.56,226,76,166,16,22,11,801,1088,0,200,74,AL,OAK,36
1990,StiebDave,33,1750000,2.93,179,68,125,11,18,6,626,861,0,185,72,AL,TOR,33
1990,StottlemyreTodd,25,168500,4.34,214,98,115,18,13,17,609,866,0,195,75,AL,TOR,33
1990,SutcliffeRick,34,1925000,5.91,25,14,7,2,0,2,64,97,0,215,79,NL,CHN,5
1990,SwiftBill,29,370000,2.39,135,34,42,4,6,4,384,533,18,170,72,AL,SEA,8
1990,SwindellGreg,25,840000,4.4,245,105,135,27,12,9,644,912,0,225,74,AL,CLE,34
1990,TananaFrank,37,1100000,5.31,190,104,114,25,9,8,529,763,4,180,74,AL,DET,29
1990,TapaniKevin,26,102000,4.07,164,72,101,12,12,8,478,659,0,180,72,AL,MIN,28
1990,TelfordAnthony,24,100000,4.95,43,20,20,4,3,3,109,168,0,175,72,AL,BAL,8
1990,TerrellWalt,32,800000,5.88,98,54,34,13,2,7,248,377,0,205,74,NL,PIT,16
1990,TewksburyBob,30,100000,3.47,151,56,50,7,10,9,436,595,1,200,76,NL,SLN,20
1990,TibbsJay,28,335000,5.68,55,32,23,8,2,7,152,215,0,185,75,AL,BAL,10
1990,TudorJohn,36,350000,2.4,120,39,63,10,12,4,439,575,0,185,72,NL,SLN,22
