ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,Games Started,salBin_low,salBin_mid,salBin_high,salBin_top
4.98,88,45,33,9,7,6,244,360,9,180,73,6,1,0,0,0
12.89,32,21,10,6,0,1,44,81,0,210,75,4,1,0,0,0
6.44,120,72,45,24,3,8,302,451,19,177,73,6,0,1,0,0
4.52,188,90,96,19,10,12,538,802,0,210,75,28,0,1,0,0
8.44,24,15,20,2,1,2,48,76,0,215,77,3,1,0,0,0
4.17,121,55,126,10,4,7,356,518,0,235,78,19,0,1,0,0
7.19,151,110,110,21,8,15,413,668,0,185,75,27,1,0,0,0
5.12,169,77,86,19,7,10,406,630,0,205,76,28,1,0,0,0
12.56,23,20,15,6,1,1,43,80,0,185,73,4,1,0,0,0
5.97,80,50,45,15,4,6,226,334,2,195,75,11,1,0,0,0
6.85,63,36,34,8,4,2,142,219,0,180,74,10,1,0,0,0
4.34,112,55,83,11,7,5,342,485,11,185,73,12,1,0,0,0
13.75,24,27,10,5,0,3,53,99,0,180,74,3,1,0,0,0
5.54,121,65,63,10,1,1,317,474,7,210,74,10,1,0,0,0
4.63,218,103,77,26,10,12,601,877,0,200,70,31,0,1,0,0
4.92,211,93,85,18,10,8,510,766,0,220,75,31,0,1,0,0
5.64,127,70,51,16,7,7,335,494,0,205,75,20,1,0,0,0
3.78,23,7,15,3,2,0,50,85,0,185,72,3,1,0,0,0
4.54,68,38,45,8,6,4,226,334,0,180,76,13,1,0,0,0
4.19,87,36,39,10,6,4,232,339,12,220,77,7,1,0,0,0
3.6,155,69,117,10,10,9,517,706,0,195,76,26,0,1,0,0
4.14,152,69,93,14,12,8,450,665,0,185,74,24,1,0,0,0
4.3,208,90,126,22,14,14,565,810,0,175,74,30,0,1,0,0
6.45,60,32,22,11,2,2,134,207,6,185,73,3,1,0,0,0
3.5,187,74,141,18,7,14,571,812,0,205,75,30,0,1,0,0
5.66,55,30,28,9,2,4,143,230,6,185,74,3,1,0,0,0
7.21,64,39,27,10,2,4,146,229,2,225,74,7,1,0,0,0
3.21,179,67,135,22,11,10,564,795,0,180,73,29,1,0,0,0
5.27,143,73,68,13,9,7,374,552,0,225,77,21,0,1,0,0
4.18,141,65,132,15,10,5,420,623,0,205,76,23,0,0,1,0
3.38,113,49,102,12,9,6,391,537,0,180,73,17,0,0,1,0
4.07,131,52,69,12,7,5,345,488,3,185,70,12,0,1,0,0
5.15,64,33,35,8,3,7,173,258,0,200,72,10,1,0,0,0
6.23,124,72,69,16,4,7,312,484,0,195,75,21,0,1,0,0
7.62,91,55,36,13,1,8,195,303,0,185,75,11,1,0,0,0
7.15,40,27,22,12,2,2,102,145,0,185,75,4,1,0,0,0
6.38,30,17,19,2,2,1,72,117,0,165,71,5,1,0,0,0
5.01,104,54,43,11,4,8,291,421,1,195,73,16,1,0,0,0
4.77,205,98,143,18,10,9,555,797,0,185,73,31,0,0,1,0
3.42,24,9,18,4,1,1,71,104,0,215,76,4,1,0,0,0
4.58,108,54,80,7,3,9,318,472,0,220,79,18,1,0,0,0
5.95,102,58,45,11,4,6,263,390,0,220,76,15,0,1,0,0
4.85,86,44,41,3,6,3,245,356,4,205,75,14,1,0,0,0
6.75,16,13,14,2,0,3,52,76,0,185,74,3,1,0,0,0
4.33,207,91,164,15,13,14,567,833,0,180,73,30,0,1,0,0
3.8,200,86,159,19,12,8,611,858,0,200,74,30,0,1,0,0
7.39,36,23,31,9,0,4,84,137,1,220,73,7,0,1,0,0
3.34,48,24,79,11,6,1,194,263,0,220,73,11,1,0,0,0
4.21,192,95,195,20,15,12,609,880,0,220,78,32,0,1,0,0
7.5,57,40,26,15,1,5,144,233,2,200,75,7,0,1,0,0
4.51,149,84,146,32,12,11,503,703,1,160,73,28,1,0,0,0
5.89,122,62,61,15,3,7,284,437,0,200,79,18,0,1,0,0
4.49,109,51,87,14,5,5,307,456,7,190,73,11,1,0,0,0
4.95,116,59,73,11,5,7,322,481,0,220,78,19,1,0,0,0
3.08,182,68,127,9,16,7,596,822,0,175,72,29,0,1,0,0
4.43,204,93,119,12,12,12,567,843,0,160,69,31,0,1,0,0
5.08,69,32,27,6,4,3,170,265,0,196,73,9,0,1,0,0
8.29,45,31,24,6,0,5,101,167,3,225,77,6,0,1,0,0
5.31,157,83,85,15,8,9,422,623,0,185,77,25,1,0,0,0
7.52,55,34,23,6,1,3,122,203,6,200,74,4,1,0,0,0
5.54,200,113,106,27,9,15,551,825,0,203,77,30,0,1,0,0
5.12,99,52,71,13,4,9,274,410,10,195,72,5,1,0,0,0
3.75,222,89,81,21,12,14,640,898,0,215,78,33,0,1,0,0
6.32,151,95,94,13,4,14,406,619,0,190,71,24,0,1,0,0
3.08,189,70,123,17,6,9,613,850,1,220,76,30,1,0,0,0
3.8,157,68,126,17,9,6,483,683,0,190,73,24,0,1,0,0
3.35,141,56,115,13,9,8,452,641,0,185,70,24,1,0,0,0
3.65,78,33,31,7,3,4,244,338,0,185,75,13,1,0,0,0
4.24,187,88,139,17,15,5,560,800,0,210,78,29,0,1,0,0
6.27,75,46,28,12,4,6,198,296,1,220,77,12,1,0,0,0
3.68,111,45,82,13,2,8,330,462,0,195,73,18,0,1,0,0
8.82,50,32,21,5,0,5,98,160,0,190,75,6,1,0,0,0
2.84,133,40,60,11,7,9,380,524,0,195,73,21,1,0,0,0
5.11,236,114,135,24,10,14,602,913,0,210,74,30,0,1,0,0
4.31,137,57,74,7,5,6,357,509,5,190,73,18,1,0,0,0
3.87,151,72,111,21,16,6,502,683,0,190,75,26,0,1,0,0
5.06,125,62,50,16,6,7,331,493,0,200,76,18,0,1,0,0
4.7,155,88,121,22,11,10,505,719,0,200,73,27,1,0,0,0
5.45,81,47,33,11,5,2,233,345,0,215,75,10,1,0,0,0
2.81,88,29,55,6,9,2,279,385,0,235,75,14,1,0,0,0
5.9,120,66,52,10,2,12,302,467,0,205,72,19,0,1,0,0
10.29,33,24,11,3,0,4,63,110,0,155,73,5,1,0,0,0
5.7,91,50,33,13,3,4,237,354,2,200,74,11,1,0,0,0
4.61,44,28,25,5,5,3,164,229,1,185,74,9,1,0,0,0
2.48,159,59,294,12,18,2,643,866,0,225,82,30,0,1,0,0
4.19,209,91,127,20,10,10,587,839,0,210,76,30,1,0,0,0
4.02,53,28,47,6,2,4,188,271,0,245,79,10,1,0,0,0
4.01,83,40,43,8,7,6,269,391,1,195,72,16,0,1,0,0
4.14,141,57,59,10,6,7,372,548,3,195,74,18,1,0,0,0
5.64,40,19,14,3,1,2,91,134,0,185,73,5,0,1,0,0
4.97,114,51,48,10,5,6,277,404,0,180,73,10,1,0,0,0
4.96,114,70,113,5,4,12,381,570,1,185,77,21,0,1,0,0
4.88,32,17,15,6,2,2,94,137,0,205,74,5,1,0,0,0
4.54,76,38,53,9,2,7,226,319,0,180,73,13,1,0,0,0
4.63,212,103,142,21,15,7,601,859,0,177,74,31,0,0,1,0
3.64,162,74,153,15,11,11,549,805,0,200,74,28,0,1,0,0
3.82,185,83,129,19,10,12,587,817,0,200,75,29,0,1,0,0
6.32,103,51,45,7,4,7,218,327,3,220,75,12,1,0,0,0
6.11,85,50,37,10,3,9,221,320,0,170,74,15,1,0,0,0
4.31,151,70,89,17,9,13,439,635,7,170,72,22,1,0,0,0
5.16,205,99,85,21,8,9,518,762,0,230,74,31,1,0,0,0
1.63,147,38,181,8,19,2,629,785,0,170,72,28,0,0,1,0
3.61,86,36,65,5,4,1,269,367,6,180,74,4,1,0,0,0
6.37,100,67,67,22,4,10,284,423,16,175,73,7,1,0,0,0
3.08,174,64,99,17,12,5,561,771,0,160,73,28,0,1,0,0
3.51,158,76,174,21,14,10,584,784,0,170,71,30,1,0,0,0
3.66,176,84,138,19,17,7,619,859,0,165,76,30,0,1,0,0
4.71,37,19,19,2,2,3,109,153,2,190,74,4,1,0,0,0
4.16,67,37,62,10,3,6,240,342,1,212,79,13,0,1,0,0
3.93,211,95,157,25,15,10,653,927,0,180,77,30,0,0,1,0
4.92,72,43,50,9,1,4,236,350,6,190,74,9,1,0,0,0
4.15,140,66,102,16,7,8,429,622,1,175,73,26,0,1,0,0
4.15,127,63,93,10,9,7,410,603,6,182,74,19,1,0,0,0
5.23,83,43,45,8,4,5,222,339,5,160,73,10,1,0,0,0
4.26,160,76,123,23,9,7,482,696,1,185,76,25,1,0,0,0
7.53,179,111,64,24,5,15,398,632,0,205,76,25,0,1,0,0
3.88,114,46,46,10,5,6,320,448,0,195,75,17,0,1,0,0
5.21,117,67,65,18,8,6,347,483,3,170,72,18,0,1,0,0
5.8,190,96,65,25,5,13,447,666,2,200,75,24,0,1,0,0
5.74,15,10,6,2,0,2,47,70,0,237,79,3,1,0,0,0
5.6,40,22,25,6,2,1,106,164,4,210,75,3,1,0,0,0
3.29,187,81,158,24,19,9,665,882,0,185,74,32,0,1,0,0
4.55,194,90,139,20,16,6,534,771,0,200,75,29,0,1,0,0
3.28,194,73,128,19,14,6,601,837,0,210,76,29,0,1,0,0
3.43,221,80,150,20,13,8,629,876,0,200,76,31,0,1,0,0
6.12,41,22,18,4,1,3,97,154,0,185,74,7,1,0,0,0
2.54,124,54,236,14,13,6,574,780,0,210,74,28,0,1,0,0
3.05,95,36,57,11,8,3,319,442,3,200,74,14,1,0,0,0
7.39,44,26,15,4,1,3,95,151,1,185,73,6,1,0,0,0
4.22,47,23,39,3,4,2,147,222,2,250,75,7,1,0,0,0
4.37,144,63,77,12,9,6,389,558,0,180,72,22,0,1,0,0
3.81,112,48,82,17,4,6,340,477,0,195,74,19,1,0,0,0
5.8,48,26,34,7,2,3,121,184,3,165,75,5,1,0,0,0
5.38,89,49,61,12,6,6,246,360,0,190,72,15,1,0,0,0
4.37,174,93,149,19,10,10,575,819,0,220,75,31,1,0,0,0
3.69,142,58,106,18,10,8,424,592,2,195,75,23,1,0,0,0
5.58,70,43,44,10,5,5,208,304,1,180,76,12,0,1,0,0
4.0,136,61,71,11,6,6,412,569,1,185,72,21,1,0,0,0
4.17,183,81,114,15,12,9,525,745,1,235,77,26,1,0,0,0
4.15,106,48,63,10,5,5,312,445,0,170,72,17,0,1,0,0
4.97,57,32,37,4,2,6,174,258,1,220,75,9,1,0,0,0
3.84,100,42,38,13,6,5,295,413,4,225,78,12,1,0,0,0
3.98,122,56,81,11,5,7,380,530,0,230,75,17,1,0,0,0
4.67,212,93,103,20,11,12,538,784,1,175,73,29,1,0,0,0
5.32,195,107,75,32,11,14,543,772,0,180,74,28,1,0,0,0
3.44,158,64,102,10,14,7,502,716,0,195,75,28,1,0,0,0
4.98,95,47,60,11,4,6,255,375,0,205,75,14,1,0,0,0
5.32,116,55,40,12,7,7,279,418,0,186,72,18,1,0,0,0
3.47,196,73,175,15,10,11,568,792,0,210,75,30,1,0,0,0
6.21,68,52,77,13,2,5,226,336,3,220,74,9,1,0,0,0
4.2,65,23,29,6,3,2,148,221,1,195,76,9,1,0,0,0
4.17,76,32,62,6,5,4,207,295,0,200,73,14,0,0,1,0
4.21,171,81,120,16,11,11,520,743,3,195,76,28,1,0,0,0
5.51,71,41,51,11,5,3,201,301,2,195,74,10,1,0,0,0
3.83,48,22,38,4,2,0,155,228,8,175,76,4,1,0,0,0
5.76,102,54,40,16,6,4,253,379,8,170,69,13,1,0,0,0
3.38,192,78,140,26,17,7,624,877,0,200,73,31,0,1,0,0
8.7,39,29,7,5,2,1,90,140,0,170,73,5,1,0,0,0
3.23,38,17,28,3,5,3,142,184,0,190,75,9,1,0,0,0
3.35,105,41,71,13,5,5,330,452,0,160,73,16,0,0,1,0
4.12,48,18,23,6,1,3,118,170,0,195,77,7,1,0,0,0
4.3,79,43,88,14,5,5,270,383,0,210,76,15,1,0,0,0
6.59,101,61,29,9,4,7,250,389,1,215,79,14,0,1,0,0
3.57,96,46,114,12,7,5,348,473,0,205,77,17,0,1,0,0
3.22,158,68,160,17,18,7,571,754,0,195,77,29,0,1,0,0
3.06,32,11,21,3,3,1,97,146,0,205,77,6,1,0,0,0
3.46,173,68,124,11,12,5,530,724,0,180,76,27,0,1,0,0
5.61,144,69,47,7,8,8,332,484,0,185,74,21,0,1,0,0
3.18,166,68,193,15,12,7,578,808,0,210,75,29,0,1,0,0
4.63,210,104,96,17,9,11,606,875,2,187,72,27,1,0,0,0
4.84,21,12,15,3,0,3,67,94,0,185,70,4,1,0,0,0
6.1,60,35,38,11,1,2,155,238,3,195,76,6,1,0,0,0
6.89,101,62,58,11,3,7,243,381,0,200,74,16,0,1,0,0
4.55,228,106,205,26,14,7,629,920,0,195,75,31,0,1,0,0
5.96,29,15,19,4,1,2,68,100,1,225,74,3,1,0,0,0
4.94,122,58,68,12,9,3,317,463,0,170,72,19,0,1,0,0
4.47,180,76,96,21,10,9,459,659,3,225,74,26,0,1,0,0
4.92,155,73,88,21,6,11,401,579,0,180,72,20,0,1,0,0
5.61,34,16,16,4,1,2,77,118,2,212,75,4,1,0,0,0
4.58,169,66,53,8,8,7,389,561,0,200,76,21,0,1,0,0
6.53,73,37,30,7,2,3,153,240,3,205,74,5,1,0,0,0
6.0,87,48,45,12,3,8,216,344,2,150,71,13,1,0,0,0
5.15,174,92,117,25,7,13,482,722,0,185,75,29,1,0,0,0
5.62,107,61,68,18,4,8,293,442,0,200,74,18,1,0,0,0
3.7,99,34,52,11,3,5,248,354,2,190,73,13,1,0,0,0
6.17,26,16,15,6,2,2,70,109,0,185,74,4,1,0,0,0
3.05,168,67,150,17,13,11,593,804,1,185,75,27,1,0,0,0
14.14,17,11,2,1,0,0,21,49,0,170,72,3,1,0,0,0
4.75,78,35,29,12,4,5,199,290,0,165,72,11,1,0,0,0
4.98,101,50,57,16,8,3,271,395,5,180,71,15,1,0,0,0
3.67,124,50,95,14,6,3,368,523,0,210,74,18,1,0,0,0
4.88,125,75,122,16,4,8,415,582,10,210,77,14,1,0,0,0
6.28,20,10,4,3,0,1,43,64,0,200,76,3,1,0,0,0
4.8,174,88,120,18,5,16,495,725,1,205,75,25,1,0,0,0
2.95,163,64,119,22,16,8,586,804,0,210,74,27,1,0,0,0
5.55,33,15,16,5,3,1,73,110,0,180,73,5,1,0,0,0
4.96,126,63,49,17,7,9,343,491,1,195,75,19,1,0,0,0
5.98,104,60,60,8,4,5,271,419,0,205,75,15,1,0,0,0
5.35,89,42,50,14,5,7,212,314,17,200,77,4,0,1,0,0
5.75,88,49,38,11,4,3,230,358,3,180,72,4,1,0,0,0
3.04,120,44,83,17,10,3,391,539,0,187,75,18,0,1,0,0
3.79,34,16,25,5,3,2,114,163,0,205,78,8,0,1,0,0
6.0,79,48,75,3,3,10,216,337,7,205,75,6,1,0,0,0
3.29,78,32,57,10,3,3,263,367,7,190,74,8,1,0,0,0
3.69,44,22,41,6,1,2,161,232,10,180,72,3,1,0,0,0
3.92,82,36,38,8,3,4,248,354,0,190,72,17,0,1,0,0
3.9,104,48,95,8,2,7,332,472,0,190,74,19,0,1,0,0
5.18,51,28,13,7,2,3,146,219,3,185,74,7,1,0,0,0
7.48,171,118,58,23,2,18,426,654,2,200,75,23,0,1,0,0
4.01,76,34,68,11,3,4,229,329,0,215,79,12,1,0,0,0
5.42,124,67,83,20,8,6,334,484,0,195,76,19,0,1,0,0
9.35,60,45,36,9,0,4,130,217,0,195,76,8,1,0,0,0
3.0,19,7,9,0,2,1,63,96,3,245,75,5,1,0,0,0
4.22,216,102,181,21,15,10,652,946,0,175,73,35,0,1,0,0
3.62,192,85,207,17,14,11,634,874,0,180,74,32,0,0,1,0
3.23,147,54,85,17,9,5,452,612,0,180,73,24,0,1,0,0
3.44,207,81,130,18,9,8,635,885,0,174,74,32,0,1,0,0
4.47,146,65,86,10,7,10,393,567,0,180,76,23,0,1,0,0
6.24,94,58,45,7,2,3,251,385,4,180,73,11,1,0,0,0
4.42,168,83,127,24,11,6,507,719,0,210,75,28,1,0,0,0
6.97,49,32,33,8,1,4,124,182,0,190,74,8,1,0,0,0
3.92,262,104,113,28,15,11,716,1021,0,210,75,35,0,1,0,0
4.9,192,104,131,27,13,10,573,840,1,215,77,32,1,0,0,0
3.83,215,98,160,28,18,10,691,963,1,235,78,34,0,1,0,0
10.26,26,19,19,3,0,1,50,93,0,185,75,5,1,0,0,0
4.37,119,55,85,14,6,8,340,482,11,205,76,14,1,0,0,0
2.63,63,22,71,8,4,3,226,317,8,195,75,5,1,0,0,0
5.83,170,94,59,28,7,14,435,658,2,200,70,23,0,1,0,0
5.93,72,40,39,8,4,4,182,278,4,220,75,9,0,1,0,0
5.32,226,112,133,40,12,11,568,860,1,205,75,28,1,0,0,0
6.3,60,28,17,4,1,3,120,198,4,205,73,5,1,0,0,0
4.58,58,27,34,7,1,5,159,231,4,220,77,4,1,0,0,0
1.89,187,49,159,8,17,11,699,906,0,195,76,32,0,1,0,0
6.54,144,94,90,15,6,10,388,598,6,185,74,20,1,0,0,0
3.83,179,83,148,18,11,13,585,849,0,220,76,33,0,1,0,0
4.32,154,74,108,15,6,10,462,645,0,175,74,24,0,1,0,0
4.46,29,18,19,7,3,1,109,147,4,210,75,5,1,0,0,0
4.49,172,76,79,18,9,11,457,657,0,205,75,27,0,1,0,0
5.28,209,107,139,28,7,16,547,789,0,180,73,33,0,1,0,0
3.43,217,81,142,20,14,11,637,883,0,225,77,32,0,1,0,0
3.63,216,98,257,19,10,13,728,1032,0,205,76,34,0,0,1,0
2.88,50,23,71,3,7,2,216,295,0,180,73,11,0,1,0,0
5.18,126,72,104,25,10,6,375,548,1,245,77,22,1,0,0,0
4.09,103,45,95,11,4,7,297,414,41,190,70,6,1,0,0,0
4.17,165,74,100,16,7,10,479,674,1,185,70,27,0,1,0,0
4.02,74,39,82,10,4,5,262,366,9,160,75,6,1,0,0,0
5.44,88,52,53,21,6,6,258,367,0,250,79,17,1,0,0,0
3.02,117,41,69,9,7,9,367,493,0,185,75,19,0,1,0,0
8.28,40,23,13,2,0,2,75,112,1,200,71,3,1,0,0,0
4.57,52,22,20,6,1,4,130,192,0,190,72,7,1,0,0,0
4.57,208,89,137,21,7,9,526,786,0,185,73,30,0,0,1,0
4.46,82,42,50,8,4,4,254,363,0,215,76,15,0,1,0,0
5.79,56,30,46,11,4,5,140,213,13,220,79,4,1,0,0,0
5.02,262,124,100,21,13,12,667,968,0,220,76,34,0,1,0,0
7.08,112,69,59,13,6,3,263,428,1,205,75,10,1,0,0,0
3.6,63,28,60,3,3,5,210,305,0,185,74,11,1,0,0,0
3.3,217,85,222,20,15,11,695,967,0,180,73,34,0,1,0,0
3.45,248,99,200,34,16,10,774,1071,0,200,74,35,0,1,0,0
4.61,193,88,106,20,7,13,515,760,1,190,74,28,0,1,0,0
3.43,50,24,77,5,3,6,189,264,0,220,73,11,0,1,0,0
4.16,241,110,215,27,15,16,714,1037,0,220,78,35,0,1,0,0
4.58,68,36,44,9,3,2,212,309,0,175,71,11,1,0,0,0
6.21,98,60,53,16,7,6,261,386,0,160,73,16,1,0,0,0
6.04,151,87,71,21,7,9,389,588,1,200,79,23,0,1,0,0
4.42,200,88,145,28,12,7,538,782,0,190,73,28,1,0,0,0
12.86,32,20,10,3,1,3,42,81,0,220,78,4,1,0,0,0
2.98,222,78,181,14,15,10,706,994,0,175,72,36,0,0,1,0
7.17,129,73,60,24,4,8,275,434,0,205,75,16,1,0,0,0
5.01,169,95,126,19,11,7,512,756,0,190,74,29,0,1,0,0
5.59,249,134,171,28,12,9,647,998,0,160,69,34,0,1,0,0
3.49,72,31,49,9,7,2,240,323,0,210,76,12,1,0,0,0
6.84,150,99,82,14,5,7,391,620,4,180,75,20,1,0,0,0
5.22,151,75,78,19,11,8,388,580,4,203,77,19,0,1,0,0
5.13,132,68,55,22,4,12,358,512,0,215,78,19,0,1,0,0
2.93,158,61,165,20,11,8,563,756,0,190,71,27,0,1,0,0
4.17,206,98,184,19,15,9,635,908,0,220,76,33,1,0,0,0
6.56,104,59,50,14,5,8,243,368,5,190,73,9,0,1,0,0
3.59,175,64,101,12,10,10,481,691,0,185,70,27,1,0,0,0
4.7,267,119,115,29,10,14,684,988,0,185,75,35,0,1,0,0
5.41,243,129,156,26,13,17,644,955,0,210,78,35,0,1,0,0
4.21,195,91,114,30,8,12,584,839,0,195,73,31,0,1,0,0
3.9,31,14,20,4,2,0,97,146,0,185,74,3,1,0,0,0
8.2,42,24,24,8,1,1,79,124,1,220,77,6,1,0,0,0
8.29,122,82,65,14,3,6,267,435,8,185,76,11,1,0,0,0
3.22,238,95,177,20,20,10,797,1100,0,210,74,35,0,1,0,0
4.24,238,97,125,21,15,9,618,908,0,190,75,33,0,1,0,0
3.63,250,101,170,19,16,10,752,1061,0,200,76,35,0,1,0,0
5.35,245,117,132,27,13,9,590,885,0,200,73,35,1,0,0,0
6.49,84,50,32,10,3,7,208,322,0,185,73,14,1,0,0,0
7.74,61,41,36,10,2,5,143,223,6,215,75,4,1,0,0,0
4.77,190,91,114,13,6,14,515,766,0,235,75,27,1,0,0,0
4.46,33,18,27,3,1,1,109,154,3,205,72,4,0,1,0,0
5.98,187,105,71,21,6,12,474,710,4,185,74,23,1,0,0,0
3.67,48,25,85,8,5,0,184,256,2,225,82,8,0,0,1,0
4.42,219,96,116,26,12,8,587,826,0,210,76,31,1,0,0,0
11.12,36,28,15,6,1,2,68,120,0,195,72,5,0,1,0,0
4.86,220,112,121,29,13,9,622,905,0,195,74,32,1,0,0,0
7.39,104,72,70,13,3,6,263,435,5,185,73,6,1,0,0,0
4.68,171,88,116,21,12,11,508,715,0,185,73,30,0,1,0,0
4.19,233,102,219,16,12,11,657,975,1,185,77,33,0,1,0,0
4.82,116,66,83,18,6,5,370,518,0,177,74,18,0,0,1,0
2.93,153,70,200,14,16,12,646,896,0,200,74,33,0,1,0,0
5.19,151,78,118,25,4,10,406,602,0,200,75,22,0,1,0,0
3.99,156,63,94,19,9,5,426,600,6,220,75,15,1,0,0,0
5.7,87,46,59,13,5,6,218,329,15,170,74,4,1,0,0,0
5.22,204,113,113,30,6,14,584,850,0,170,72,32,1,0,0,0
4.96,65,29,32,11,2,3,158,236,0,230,74,10,1,0,0,0
6.39,80,44,45,14,5,4,186,282,0,240,74,10,1,0,0,0
2.72,225,74,172,11,15,11,735,978,0,170,72,35,0,0,1,0
4.48,76,32,32,12,3,2,193,295,2,180,74,7,0,1,0,0
6.88,70,41,21,10,1,5,161,252,3,225,78,8,1,0,0,0
7.2,63,36,30,10,1,4,135,220,5,175,73,5,1,0,0,0
4.5,122,56,48,12,9,6,336,483,0,160,73,20,0,1,0,0
3.7,189,89,222,19,13,10,650,901,0,170,71,33,1,0,0,0
3.42,153,64,133,12,15,6,506,732,1,165,76,27,0,1,0,0
6.97,72,40,28,6,5,5,155,246,13,190,73,4,0,1,0,0
3.9,228,96,146,25,12,10,664,951,0,212,79,35,0,1,0,0
5.11,214,109,141,22,13,9,576,846,0,180,77,30,0,1,0,0
7.29,55,34,18,9,2,2,126,196,4,190,74,6,1,0,0,0
7.76,73,50,22,12,3,6,174,283,0,175,73,12,0,1,0,0
5.78,99,55,66,15,2,10,257,398,17,185,73,9,1,0,0,0
6.8,57,35,30,5,1,3,139,222,6,205,77,5,1,0,0,0
9.23,45,27,15,7,1,2,79,126,0,205,75,7,1,0,0,0
9.18,28,17,8,3,0,4,50,88,0,200,75,4,1,0,0,0
5.53,116,61,56,13,3,9,298,448,0,182,74,17,1,0,0,0
4.94,116,60,78,12,7,6,328,503,5,160,73,12,1,0,0,0
5.24,118,60,55,14,4,8,309,452,0,195,75,18,0,1,0,0
4.5,111,45,50,14,7,1,270,405,1,170,72,10,0,1,0,0
4.66,157,69,52,17,8,7,400,571,0,200,75,21,0,1,0,0
7.82,42,22,8,5,0,3,76,123,0,237,79,6,1,0,0,0
4.81,264,130,204,31,19,11,730,1039,0,185,74,36,0,1,0,0
3.41,217,84,167,21,17,5,666,921,0,200,75,32,0,1,0,0
3.92,244,103,158,25,15,12,710,1007,0,210,76,35,0,1,0,0
3.05,186,62,131,21,14,6,548,745,0,200,76,27,0,1,0,0
3.19,180,81,234,23,16,11,685,932,0,210,74,33,0,1,0,0
4.79,151,78,101,22,10,6,440,620,2,200,74,21,1,0,0,0
4.89,169,87,81,16,7,11,480,708,0,185,73,25,0,1,0,0
4.66,190,90,112,20,14,6,521,777,0,250,75,30,1,0,0,0
3.53,191,78,134,22,13,9,596,822,0,195,74,30,0,1,0,0
3.53,55,20,27,7,2,4,153,223,0,185,74,11,1,0,0,0
3.64,82,44,119,7,5,5,326,477,7,210,74,10,1,0,0,0
6.04,88,47,50,15,5,5,210,320,7,160,71,5,1,0,0,0
7.18,35,21,27,4,0,3,79,123,3,190,72,4,1,0,0,0
5.19,216,116,127,28,15,8,603,877,0,220,75,34,0,1,0,0
4.52,86,45,76,16,4,5,269,390,1,180,72,13,1,0,0,0
5.63,72,40,28,9,2,4,192,283,0,162,73,10,1,0,0,0
3.55,83,35,45,9,11,2,266,377,7,185,72,6,1,0,0,0
3.87,229,95,162,23,21,8,663,929,1,235,77,34,1,0,0,0
3.98,146,69,93,20,8,9,468,646,0,170,72,26,0,1,0,0
4.15,130,58,75,9,6,7,377,547,0,220,75,21,1,0,0,0
5.43,172,81,86,27,5,14,403,609,7,175,73,20,0,1,0,0
4.46,231,115,148,40,11,16,696,973,0,180,74,35,1,0,0,0
5.1,184,92,86,12,8,16,487,728,1,195,75,29,1,0,0,0
8.95,87,58,25,11,2,4,175,289,0,205,75,11,1,0,0,0
5.6,24,17,19,4,0,1,82,125,2,195,72,4,1,0,0,0
4.78,134,65,78,19,7,10,367,550,14,190,73,10,1,0,0,0
4.96,195,93,88,27,8,9,506,733,0,186,72,30,1,0,0,0
3.65,227,97,204,20,16,10,717,981,0,210,75,35,1,0,0,0
5.28,236,125,105,24,17,11,639,966,0,195,76,35,0,1,0,0
5.12,197,106,114,22,7,17,559,853,1,175,76,31,1,0,0,0
5.05,218,116,110,27,13,14,620,899,4,193,72,33,1,0,0,0
4.68,179,93,92,16,12,8,537,786,0,200,73,30,0,0,1,0
3.21,101,38,64,7,8,6,320,441,0,175,72,16,1,0,0,0
4.6,64,30,22,7,1,1,176,265,3,180,74,7,1,0,0,0
4.58,91,40,30,12,5,6,236,338,0,190,75,16,1,0,0,0
5.01,91,44,52,10,4,5,237,347,1,220,76,9,1,0,0,0
5.2,114,67,82,18,8,5,348,509,2,215,77,19,1,0,0,0
7.5,39,15,7,5,0,2,54,98,0,195,77,4,1,0,0,0
3.38,117,54,157,10,9,5,432,594,6,210,76,16,1,0,0,0
3.19,149,65,182,16,9,10,550,732,0,205,77,26,0,1,0,0
6.75,69,44,48,8,3,4,176,274,0,185,77,11,1,0,0,0
6.01,79,45,54,7,4,5,202,304,0,195,77,12,0,1,0,0
5.32,192,93,137,14,7,11,472,722,0,205,77,29,1,0,0,0
8.16,37,26,17,3,1,3,86,144,4,200,77,3,1,0,0,0
3.64,207,88,171,20,13,14,652,889,0,180,76,34,0,1,0,0
5.08,104,47,47,7,4,6,250,368,0,185,74,16,1,0,0,0
2.94,199,83,276,19,24,8,761,995,0,210,75,35,0,0,1,0
11.84,40,32,9,5,1,3,73,132,0,180,75,7,1,0,0,0
6.6,103,65,21,19,4,7,266,406,2,187,72,13,1,0,0,0
5.51,91,58,64,24,5,6,284,413,3,185,70,15,1,0,0,0
4.66,106,50,94,12,3,10,290,437,12,195,76,7,1,0,0,0
3.87,191,96,194,30,14,11,670,944,0,195,75,33,0,1,0,0
7.54,29,19,13,3,1,1,68,107,2,225,74,4,1,0,0,0
5.4,23,11,5,1,1,1,55,81,2,170,72,3,0,1,0,0
7.83,35,20,15,5,0,3,69,116,3,225,74,4,0,1,0,0
