ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,Games Started,salBin_low,salBin_mid,salBin_high,salBin_top
4.47,122,55,58,12,5,6,332,466,11,187,74,12,1,0,0,0
4.1,196,82,68,30,13,9,540,758,0,180,70,29,1,0,0,0
3.65,174,89,194,26,14,11,659,944,0,225,82,33,1,0,0,0
6.3,72,35,25,8,1,2,150,238,9,175,74,7,1,0,0,0
4.25,169,73,88,20,13,7,464,636,0,185,73,27,0,1,0,0
3.97,145,67,93,7,8,9,456,641,3,180,75,25,1,0,0,0
3.28,135,55,70,10,12,4,453,623,0,180,74,25,1,0,0,0
4.12,187,77,56,14,10,9,505,719,0,215,77,27,1,0,0,0
3.98,137,57,64,10,6,8,387,566,4,205,77,17,1,0,0,0
6.03,38,21,21,2,2,1,94,141,0,175,73,7,1,0,0,0
3.94,75,34,39,5,6,4,233,337,0,185,77,12,0,1,0,0
4.62,121,56,65,11,9,5,327,479,26,200,74,6,1,0,0,0
4.4,215,109,195,13,10,17,669,950,0,177,74,33,0,1,0,0
4.11,180,72,67,11,7,10,473,694,0,205,75,27,0,1,0,0
4.11,202,95,138,18,9,19,624,881,0,205,75,31,0,1,0,0
3.16,164,57,76,9,9,11,487,680,0,195,75,24,0,1,0,0
6.28,75,43,34,10,2,8,185,279,1,200,72,11,1,0,0,0
3.46,242,91,144,11,15,15,711,1011,0,170,72,35,1,0,0,0
3.59,204,81,100,10,10,17,610,855,0,225,78,31,1,0,0,0
4.28,134,64,68,16,7,6,404,564,9,195,73,16,0,1,0,0
2.95,191,74,156,16,10,11,678,908,0,160,73,32,0,1,0,0
2.92,191,76,223,22,20,6,703,950,0,165,76,33,1,0,0,0
5.33,53,30,18,2,0,5,152,229,0,180,74,10,1,0,0,0
3.25,161,63,78,9,12,11,523,738,0,190,73,29,0,1,0,0
2.43,88,32,65,9,8,5,356,472,2,212,79,15,1,0,0,0
4.46,143,67,60,18,5,8,406,594,0,220,76,24,1,0,0,0
4.64,133,59,43,7,6,6,343,509,2,165,74,17,1,0,0,0
4.65,204,103,73,14,13,15,598,862,0,205,76,33,0,1,0,0
3.75,216,88,106,19,11,15,633,891,0,195,75,33,0,1,0,0
4.51,231,125,162,26,15,18,749,1073,0,195,75,36,0,1,0,0
4.66,115,53,58,6,2,6,307,447,6,170,72,10,1,0,0,0
3.34,172,67,75,15,9,10,542,746,2,200,75,26,1,0,0,0
4.46,176,74,75,11,8,7,448,654,2,210,76,22,1,0,0,0
6.53,61,44,40,5,4,7,182,274,4,175,75,10,1,0,0,0
3.66,123,48,62,10,7,6,354,500,9,185,73,12,0,1,0,0
5.18,92,47,69,10,4,9,245,355,14,185,76,5,0,1,0,0
2.95,88,31,70,9,8,5,284,386,19,185,74,5,1,0,0,0
4.61,177,101,161,14,13,14,591,833,0,180,76,35,1,0,0,0
1.29,8,2,12,0,1,2,42,52,0,162,74,3,0,1,0,0
4.79,120,49,37,7,4,4,276,421,8,180,73,8,1,0,0,0
3.62,187,79,136,21,11,10,590,831,0,170,72,32,1,0,0,0
4.51,217,94,86,28,11,15,563,825,0,230,79,32,0,1,0,0
2.7,151,59,152,10,14,8,591,801,0,200,73,29,0,1,0,0
11.05,14,9,3,0,0,4,22,52,0,195,76,4,1,0,0,0
4.57,173,80,78,18,10,7,473,667,0,225,76,25,0,1,0,0
3.45,82,34,43,8,3,6,266,372,12,195,76,4,0,1,0,0
5.96,141,96,76,23,10,9,435,654,0,210,78,27,1,0,0,0
